date;scenario;minutes
2025-07-01;Типовой;173
2025-07-02;Типовой;328
2025-07-03;Типовой;380
2025-07-04;Типовой;385
2025-07-05;Типовой;189
2025-07-06;Типовой;8
2025-07-07;Типовой;56
2025-07-08;Типовой;330
2025-07-09;Типовой;246
2025-07-10;Типовой;286
2025-07-11;Типовой;348
2025-07-12;Типовой;216
2025-07-13;Типовой;2
2025-07-14;Типовой;171
2025-07-15;Типовой;209
2025-07-16;Типовой;90
2025-07-17;Типовой;478
2025-07-18;Типовой;573
2025-07-19;Типовой;745
2025-07-20;Типовой;2
2025-07-21;Типовой;64
2025-07-22;Типовой;516
2025-07-23;Типовой;258
2025-07-24;Типовой;266
2025-07-25;Типовой;331
2025-07-26;Типовой;467
2025-07-27;Типовой;5
2025-07-28;Типовой;209
2025-07-29;Типовой;97
2025-07-30;Типовой;524
2025-07-31;Типовой;348
2025-08-01;Типовой;665
2025-08-02;Типовой;5
2025-08-03;Типовой;3
2025-08-04;Типовой;103
2025-08-05;Типовой;379
2025-08-06;Типовой;280
2025-08-07;Типовой;340
2025-08-08;Типовой;488
2025-08-09;Типовой;2
2025-08-10;Типовой;1
2025-08-11;Типовой;43
2025-08-12;Типовой;455
2025-08-13;Типовой;207
2025-08-14;Типовой;62
2025-08-15;Типовой;741
2025-08-16;Типовой;492
2025-08-17;Типовой;6
2025-08-18;Типовой;130
2025-08-19;Типовой;46
2025-08-20;Типовой;518
2025-08-21;Типовой;170
2025-08-22;Типовой;56
2025-08-23;Типовой;9
2025-08-24;Типовой;4
2025-08-25;Типовой;69
2025-08-26;Типовой;347
2025-08-27;Типовой;471
2025-08-28;Типовой;527
2025-08-29;Типовой;77
2025-08-30;Типовой;1096
2025-08-31;Типовой;620
2025-09-01;Типовой;112
2025-09-02;Типовой;55
2025-09-04;Типовой;730
2025-09-07;Типовой;530
2025-09-09;Типовой;786
2025-09-10;Типовой;744
2025-09-11;Типовой;283
2025-09-12;Типовой;647
2025-09-13;Типовой;897
2025-09-14;Типовой;385
2025-09-15;Типовой;494
2025-09-16;Типовой;477
2025-09-17;Типовой;133
2025-09-18;Типовой;452
2025-09-19;Типовой;511
2025-09-20;Типовой;34
2025-09-21;Типовой;46
2025-09-22;Типовой;96
2025-09-23;Типовой;483
2025-09-24;Типовой;559
2025-09-25;Типовой;435
2025-09-26;Типовой;89
2025-09-27;Типовой;209
2025-09-28;Типовой;15
2025-09-29;Типовой;74
2025-09-30;Типовой;478
2025-10-01;Типовой;295
2025-10-02;Типовой;277
2025-10-03;Типовой;600
2025-10-04;Типовой;224
2025-10-05;Типовой;3
2025-10-06;Типовой;88
2025-10-07;Типовой;450
2025-10-08;Типовой;166
2025-10-09;Без дублей обменов;199
2025-10-10;Без дублей обменов;162
2025-10-12;Без дублей обменов;103
2025-10-13;Без дублей обменов;49
2025-10-14;Без дублей обменов;238
2025-10-15;Без дублей обменов;205
2025-10-16;Без дублей обменов;190
2025-10-17;Без дублей обменов + Параллельные портфели;73
2025-10-18;Без дублей обменов + Параллельные портфели;34
2025-10-19;Без дублей обменов + Параллельные портфели;16
2025-10-20;Без дублей обменов + Параллельные портфели;89
2025-10-21;Без дублей обменов + Параллельные портфели;183
2025-10-22;Без дублей обменов + Параллельные портфели;61
2025-10-23;Без дублей обменов + Параллельные портфели;99
2025-10-24;Без дублей обменов + Параллельные портфели;67
2025-10-25;Без дублей обменов + Параллельные портфели;4
2025-10-26;Без дублей обменов + Параллельные портфели;3
2025-10-27;Без дублей обменов + Параллельные портфели;60
2025-10-28;Без дублей обменов + Параллельные портфели;130
2025-10-29;Без дублей обменов + Параллельные портфели;103
2025-10-30;Без дублей обменов + Параллельные портфели;40
